Area u^2;Convex Area u^2;Perimeter u;Convex Perimeter u;Length (Feret) u;Fiber Length u;Width u;Equivalent Diameter (ArEquivD) u;Inscribed Radius (MinR) u;Form Factor (Circ);Roundness;Convexity;Solidity;Compactness;Aspect Ratio;Elongation;Curl;L1;L2;Subtribe;;
610.585;723.765;155.65;141.335;63.584;68.083;12.151;27.882;4.284;0.317;0.192;0.908;0.844;0.439;5.233;5.603;0.934;1.7915;1.41818394;Agrostidinae;;
317.971;388.62;107.076;96.517;42.829;46.202;10.523;20.121;2.684;0.349;0.221;0.901;0.818;0.47;4.07;4.391;0.927;2.5775;1.960320417;Agrostidinae;;
350.873;386.503;97.951;88.824;37.19;41.83;11.55;21.136;4.445;0.46;0.323;0.907;0.908;0.568;3.22;3.622;0.889;1.33;1.299212598;Agrostidinae;;
286.619;340.762;92.244;83.59;36.038;39.517;11.323;19.103;3.873;0.423;0.281;0.906;0.841;0.53;3.183;3.49;0.912;1.7885;1.461786729;Agrostidinae;;
569.824;629.439;125.269;112.345;47.186;52.373;15.399;26.936;6.366;0.456;0.326;0.897;0.905;0.571;3.064;3.401;0.901;1.3335;1.209472196;Agrostidinae;;
280.624;314.19;89.643;79.764;34.862;39.592;10.278;18.902;3.114;0.439;0.294;0.89;0.893;0.542;3.392;3.852;0.881;2.025;1.650289017;Agrostidinae;;
508.582;569.396;158.235;146.099;68.5;73.269;9.068;25.447;3.989;0.255;0.138;0.923;0.893;0.371;7.554;8.08;0.935;0.545;1.136625721;Agrostidinae;;
603.529;693.269;167.137;150.97;69.294;74.036;11.377;27.721;4.661;0.271;0.16;0.903;0.871;0.4;6.091;6.508;0.936;1.0275;1.220446256;Agrostidinae;;
255.266;296.307;84.018;74.503;31.467;35.672;11.476;18.028;3.186;0.454;0.328;0.887;0.861;0.573;2.742;3.108;0.882;2.552;1.801004394;Agrostidinae;;
353.598;411.863;118.437;104.47;46.359;49.956;10.336;21.218;2.657;0.317;0.209;0.882;0.859;0.458;4.485;4.833;0.928;2.511;1.945050809;Agrostidinae;;
283.894;321.585;87.696;75.941;32.047;35.561;11.733;19.012;4.087;0.464;0.352;0.866;0.883;0.593;2.731;3.031;0.901;1.7795;1.435404943;Agrostidinae;;
794.254;909.885;177.22;160.427;71.712;79.004;13.717;31.801;4.848;0.318;0.197;0.905;0.873;0.443;5.228;5.759;0.908;2.0105;1.414707096;Agrostidinae;;
552.355;632.42;140.896;126.635;56.551;60.425;12.475;26.519;4.254;0.35;0.22;0.899;0.873;0.469;4.533;4.844;0.936;1.9835;1.466267043;Agrostidinae;;
743.31;923.32;203.761;181.295;85.48;90.058;12.044;30.764;3.188;0.225;0.13;0.89;0.805;0.36;7.097;7.477;0.949;2.834;1.888958595;Agrostidinae;;
276.636;304.75;80.832;74.038;31.341;33.872;11.667;18.768;5.071;0.532;0.359;0.916;0.908;0.599;2.686;2.903;0.925;0.7625;1.15036482;Agrostidinae;;
205.211;223.601;67.016;61.817;25.541;26.287;10.06;16.164;4.083;0.574;0.401;0.922;0.918;0.633;2.539;2.613;0.972;0.947;1.231937301;Agrostidinae;;
448.286;494.154;111.563;102.012;44.024;45.797;12.746;23.891;5.069;0.453;0.294;0.914;0.907;0.543;3.454;3.593;0.961;1.304;1.257249951;Agrostidinae;;
270.068;301.693;81.475;75.461;32.208;35.706;10.893;18.543;3.986;0.511;0.331;0.926;0.895;0.576;2.957;3.278;0.902;1.4605;1.366407426;Agrostidinae;;
318.201;355.783;98.447;89.463;39.568;42.204;10.271;20.128;3.321;0.413;0.259;0.909;0.894;0.509;3.852;4.109;0.938;1.8145;1.546371575;Agrostidinae;;
263.155;295.307;80.904;72.781;30.499;34.475;10.823;18.305;3.772;0.505;0.36;0.9;0.891;0.6;2.818;3.185;0.885;1.6395;1.434650053;Agrostidinae;;
241.096;266.229;87.309;81.91;37.077;39.304;7.946;17.521;2.617;0.397;0.223;0.938;0.906;0.473;4.666;4.946;0.943;1.356;1.518150554;Agrostidinae;;
500.98;602.313;166.366;151.227;71.81;77.993;9.507;25.256;3.178;0.227;0.124;0.909;0.832;0.352;7.554;8.204;0.921;1.5755;1.495752045;Agrostidinae;;
313.783;359.178;99.553;91.121;40.162;41.183;10.026;19.988;3.112;0.398;0.248;0.915;0.874;0.498;4.006;4.108;0.975;1.901;1.610861183;Agrostidinae;;
449.95;552.761;164.505;148.55;70.615;75.034;8.95;23.935;2.577;0.209;0.115;0.903;0.814;0.339;7.89;8.384;0.941;1.898;1.736515328;Agrostidinae;;
